Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
BCL2,4.53E-17,6.16E-13,0.346,50,hsa-miR-34b-5p,hsa-miR-21-5p,hsa-miR-204-5p,hsa-miR-153-3p,hsa-let-7a-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-34a-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-29c-3p,hsa-miR-29b-3p,hsa-miR-29a-3p,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-195-5p,hsa-miR-630,hsa-miR-451a,hsa-miR-365a-3p,hsa-miR-125b-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-429,hsa-miR-7-5p,hsa-miR-148a-3p,hsa-miR-24-2-5p,hsa-miR-196b-5p,hsa-miR-143-3p,hsa-miR-215-5p,hsa-miR-103a-3p,hsa-miR-96-5p,hsa-miR-205-5p,hsa-miR-126-3p,hsa-miR-18a-5p,hsa-miR-34a-3p,hsa-miR-448,hsa-miR-125a-5p,hsa-miR-708-5p,hsa-miR-30b-5p,hsa-miR-135a-5p,hsa-miR-503-5p,hsa-miR-211-5p,hsa-miR-9-5p,hsa-miR-26a-1-3p,hsa-miR-376c-3p,hsa-miR-16-1-3p,hsa-miR-98-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTEN,2.24E-16,1.52E-12,0.43,74,hsa-miR-17-5p,hsa-miR-216a-5p,hsa-miR-214-3p,hsa-miR-26a-5p,hsa-miR-21-5p,hsa-miR-19a-3p,hsa-miR-141-3p,hsa-miR-20a-5p,hsa-miR-18a-5p,hsa-miR-19b-3p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-106b-5p,hsa-miR-29b-3p,hsa-miR-93-5p,hsa-miR-519a-3p,hsa-miR-519c-3p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-22-3p,hsa-miR-25-3p,hsa-miR-23a-3p,hsa-miR-29a-3p,hsa-miR-23b-3p,hsa-miR-106a-5p,hsa-miR-193b-3p,hsa-miR-181b-5p,hsa-miR-128-3p,hsa-miR-29c-3p,hsa-miR-425-5p,hsa-miR-92a-1-5p,hsa-miR-92a-3p,hsa-miR-32-5p,hsa-miR-200a-3p,hsa-miR-130b-3p,hsa-miR-492,hsa-miR-20b-5p,hsa-miR-10b-5p,hsa-miR-155-3p,hsa-miR-205-5p,hsa-miR-429,hsa-miR-92b-3p,hsa-miR-153-3p,hsa-miR-26b-5p,hsa-miR-543,hsa-miR-376a-5p,hsa-miR-34a-3p,hsa-miR-607,hsa-miR-105-5p,hsa-miR-216b-3p,hsa-miR-26a-2-3p,hsa-miR-26a-1-3p,hsa-miR-652-5p,hsa-miR-548as-3p,hsa-miR-377-3p,hsa-miR-301b-3p,hsa-miR-130a-3p,hsa-miR-181a-5p,hsa-miR-106a-3p,hsa-miR-106b-3p,hsa-miR-17-3p,hsa-miR-20a-3p,hsa-miR-193a-3p,hsa-miR-302a-3p,hsa-miR-301a-5p,hsa-miR-200a-5p,hsa-miR-181c-5p,hsa-miR-200c-3p,hsa-miR-518c-3p,hsa-miR-200c-5p,hsa-miR-486-5p,hsa-miR-744-3p,hsa-miR-21-3p,hsa-miR-152-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYC,3.43E-15,1.56E-11,0.437,71,hsa-miR-24-3p,hsa-let-7a-5p,hsa-let-7g-5p,hsa-miR-34a-5p,hsa-miR-98-5p,hsa-let-7c-5p,hsa-miR-26a-5p,hsa-miR-145-5p,hsa-miR-21-5p,hsa-miR-34b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-378a-3p,hsa-miR-373-3p,hsa-miR-451a,hsa-miR-135a-5p,hsa-miR-429,hsa-let-7f-5p,hsa-miR-320b,hsa-miR-744-5p,hsa-miR-423-5p,hsa-let-7b-5p,hsa-miR-148a-3p,hsa-miR-33a-5p,hsa-miR-30a-3p,hsa-miR-30d-3p,hsa-miR-30e-3p,hsa-miR-323a-3p,hsa-miR-195-3p,hsa-miR-487b-3p,hsa-miR-7-5p,hsa-miR-93-5p,hsa-miR-324-3p,hsa-miR-25-3p,hsa-miR-92a-1-5p,hsa-miR-19b-2-5p,hsa-miR-19b-1-5p,hsa-miR-19a-3p,hsa-miR-106b-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-516a-5p,hsa-miR-455-3p,hsa-miR-30d-5p,hsa-miR-30c-5p,hsa-miR-23a-3p,hsa-miR-222-3p,hsa-miR-196b-5p,hsa-miR-196a-5p,hsa-miR-16-5p,hsa-miR-125a-3p,hsa-miR-125a-5p,hsa-let-7i-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-miR-622,hsa-miR-135b-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-25-5p,hsa-miR-185-5p,hsa-miR-29a-3p,hsa-miR-34a-3p,hsa-miR-29b-3p,hsa-miR-129-2-3p,hsa-miR-377-5p,hsa-miR-512-5p,hsa-miR-513c-5p,hsa-miR-514b-5p,hsa-miR-586,hsa-miR-655-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMBOX1,4.75E-13,1.52E-09,0.404,51,hsa-miR-30c-1-3p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106a-5p,hsa-miR-187-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-20b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-548az-5p,hsa-miR-561-5p,hsa-miR-802,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,hsa-miR-548n,hsa-miR-670-3p,hsa-miR-342-3p,hsa-miR-372-5p,hsa-miR-616-5p,hsa-miR-373-5p,hsa-miR-371b-5p,hsa-miR-216b-3p,hsa-miR-29b-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMGA2,5.59E-13,1.52E-09,0.464,69,hsa-miR-26a-5p,hsa-miR-125b-5p,hsa-miR-34a-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7b-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-let-7a-5p,hsa-miR-98-5p,hsa-miR-370-3p,hsa-miR-185-5p,hsa-miR-29b-3p,hsa-miR-196a-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-204-5p,hsa-miR-760,hsa-let-7f-5p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-let-7i-5p,hsa-miR-367-3p,hsa-miR-196b-5p,hsa-miR-491-5p,hsa-miR-92b-3p,hsa-miR-33a-5p,hsa-let-7c-3p,hsa-miR-508-3p,hsa-miR-648,hsa-miR-365a-5p,hsa-miR-365b-5p,hsa-miR-145-5p,hsa-miR-23b-3p,hsa-miR-493-5p,hsa-let-7g-3p,hsa-let-7a-2-3p,hsa-miR-19b-2-5p,hsa-miR-19b-1-5p,hsa-miR-19a-5p,hsa-miR-181d-5p,hsa-miR-181c-5p,hsa-miR-181b-5p,hsa-miR-181a-5p,hsa-miR-543,hsa-miR-33b-3p,hsa-miR-633,hsa-miR-107,hsa-miR-485-5p,hsa-miR-106a-5p,hsa-miR-10a-3p,hsa-miR-16-1-3p,hsa-miR-17-3p,hsa-miR-202-3p,hsa-miR-222-5p,hsa-miR-30a-3p,hsa-miR-30d-3p,hsa-miR-30e-3p,hsa-miR-326,hsa-miR-335-3p,hsa-miR-490-5p,hsa-miR-506-5p,hsa-miR-509-3-5p,hsa-miR-509-5p,hsa-miR-548ar-3p,hsa-miR-591,hsa-miR-627-3p,hsa-miR-892c-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI1,8.74E-12,0.000000017,0.401,45,hsa-miR-200c-3p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-128-3p,hsa-miR-302b-3p,hsa-miR-708-5p,hsa-miR-200b-3p,hsa-let-7g-5p,hsa-miR-33a-5p,hsa-miR-106b-3p,hsa-miR-27a-3p,hsa-miR-544a,hsa-miR-300,hsa-miR-30e-5p,hsa-miR-302a-3p,hsa-miR-183-5p,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548d-5p,hsa-miR-548j-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548y,hsa-miR-548o-5p,hsa-miR-548ab,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-580-5p,hsa-miR-376c-3p,hsa-miR-586,hsa-miR-452-5p,hsa-miR-487b-3p,hsa-miR-548az-5p,hsa-miR-195-3p,hsa-miR-21-5p,hsa-miR-200c-5p,hsa-miR-128-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAP1B,8.22E-12,0.000000017,0.388,42,hsa-miR-518b,hsa-miR-1-3p,hsa-miR-26b-5p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-28-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-875-3p,hsa-miR-101-3p,hsa-miR-374b-5p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-651-3p,hsa-miR-100-5p,hsa-miR-580-3p,hsa-miR-513a-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-128-3p,hsa-miR-216a-3p,hsa-miR-208b-5p,hsa-miR-208a-5p,hsa-miR-642b-5p,hsa-miR-454-5p,hsa-miR-380-3p,hsa-miR-411-3p,hsa-miR-379-3p,hsa-miR-510-3p,hsa-miR-422a,hsa-miR-378h,hsa-miR-378f,hsa-miR-378e,hsa-miR-378c,hsa-miR-378b,hsa-miR-378a-3p,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNMT1,1.62E-11,2.45E-08,0.331,30,hsa-miR-148a-3p,hsa-miR-29b-3p,hsa-miR-152-3p,hsa-miR-301b-3p,hsa-miR-126-3p,hsa-miR-342-3p,hsa-miR-185-5p,hsa-miR-140-5p,hsa-miR-193b-3p,hsa-miR-148b-3p,hsa-miR-877-3p,hsa-miR-484,hsa-miR-149-5p,hsa-miR-30b-5p,hsa-miR-100-5p,hsa-miR-26a-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-429,hsa-miR-29a-3p,hsa-miR-92a-3p,hsa-miR-20a-5p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-18a-5p,hsa-miR-17-5p,hsa-let-7c-5p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-377-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRT1,1.58E-11,2.45E-08,0.324,29,hsa-miR-34a-5p,hsa-miR-216a-5p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-181a-5p,hsa-miR-138-5p,hsa-miR-181b-5p,hsa-miR-449b-5p,hsa-miR-181c-5p,hsa-miR-9-5p,hsa-miR-128-3p,hsa-miR-124-3p,hsa-miR-215-5p,hsa-miR-331-3p,hsa-let-7c-5p,hsa-miR-199a-5p,hsa-miR-204-5p,hsa-miR-29c-3p,hsa-miR-221-3p,hsa-miR-543,hsa-miR-22-3p,hsa-miR-126-3p,hsa-miR-133b,hsa-miR-23b-3p,hsa-miR-199b-5p,hsa-miR-200c-3p,hsa-miR-34a-3p,hsa-miR-92a-3p,hsa-miR-155-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,2.28E-11,3.11E-08,0.405,44,hsa-miR-199a-3p,hsa-miR-125b-5p,hsa-miR-185-5p,hsa-miR-149-3p,hsa-miR-451a,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-143-3p,hsa-miR-26b-5p,hsa-miR-193b-3p,hsa-miR-100-5p,hsa-miR-19a-3p,hsa-miR-133b,hsa-miR-542-3p,hsa-miR-708-5p,hsa-miR-105-5p,hsa-miR-27a-5p,hsa-miR-192-3p,hsa-miR-496,hsa-miR-365b-3p,hsa-miR-365a-3p,hsa-miR-422a,hsa-miR-378h,hsa-miR-378f,hsa-miR-378e,hsa-miR-378c,hsa-miR-378b,hsa-miR-378a-3p,hsa-miR-326,hsa-miR-99a-5p,hsa-miR-637,hsa-miR-138-5p,hsa-miR-196b-5p,hsa-miR-34a-5p,hsa-miR-409-3p,hsa-miR-340-5p,hsa-miR-22-3p,hsa-miR-125a-5p,hsa-miR-374b-5p,hsa-miR-185-3p,hsa-miR-10b-5p,hsa-miR-382-3p,hsa-miR-126-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BECN1,6.33E-11,7.38E-08,0.268,19,hsa-miR-30a-5p,hsa-miR-100-5p,hsa-miR-376b-3p,hsa-miR-30b-5p,hsa-miR-216a-5p,hsa-miR-199a-5p,hsa-miR-216b-5p,hsa-miR-30d-5p,hsa-miR-935,hsa-miR-548e-5p,hsa-miR-30e-5p,hsa-miR-30c-5p,hsa-miR-34a-5p,hsa-miR-221-3p,hsa-miR-129-5p,hsa-miR-30a-3p,hsa-miR-9-5p,hsa-miR-124-5p,hsa-miR-30b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRDM1,6.5E-11,7.38E-08,0.289,22,hsa-let-7a-5p,hsa-miR-9-5p,hsa-miR-127-3p,hsa-miR-125b-5p,hsa-let-7b-5p,hsa-let-7f-5p,hsa-miR-30a-5p,hsa-miR-877-3p,hsa-miR-223-3p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-125a-3p,hsa-miR-129-5p,hsa-miR-125a-5p,hsa-miR-140-5p,hsa-miR-874-3p,hsa-miR-938,hsa-miR-222-3p,hsa-miR-101-3p,hsa-miR-320c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KATNAL1,8.11E-11,8.49E-08,0.469,58,hsa-miR-130b-3p,hsa-miR-106b-5p,hsa-miR-186-5p,hsa-miR-122-5p,hsa-miR-196a-5p,hsa-miR-103a-3p,hsa-miR-93-5p,hsa-miR-19b-3p,hsa-miR-16-5p,hsa-let-7d-5p,hsa-miR-548h-5p,hsa-miR-548j-5p,hsa-let-7e-5p,hsa-miR-511-3p,hsa-miR-20a-5p,hsa-miR-591,hsa-miR-100-3p,hsa-miR-548e-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-106a-5p,hsa-miR-20b-5p,hsa-miR-17-5p,hsa-miR-297,hsa-miR-567,hsa-miR-759,hsa-miR-574-5p,hsa-miR-223-5p,hsa-miR-648,hsa-miR-892a,hsa-miR-455-3p,hsa-miR-650,hsa-miR-377-5p,hsa-miR-568,hsa-miR-656-3p,hsa-miR-19a-3p,hsa-miR-195-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,9.72E-11,9.46E-08,0.493,65,hsa-miR-373-3p,hsa-miR-302d-3p,hsa-miR-126-3p,hsa-miR-147a,hsa-miR-140-5p,hsa-miR-29b-3p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-150-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-378a-3p,hsa-miR-330-3p,hsa-miR-125a-5p,hsa-miR-361-5p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-372-3p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-34a-5p,hsa-miR-205-5p,hsa-miR-145-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-503-5p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-133a-3p,hsa-miR-101-3p,hsa-miR-21-5p,hsa-miR-29a-3p,hsa-miR-424-5p,hsa-miR-598-5p,hsa-miR-374b-3p,hsa-miR-451b,hsa-miR-568,hsa-miR-141-5p,hsa-miR-299-3p,hsa-miR-297,hsa-miR-95-5p,hsa-miR-185-5p,hsa-miR-199a-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-646,hsa-miR-374b-5p,hsa-miR-567,hsa-miR-410-3p,hsa-miR-369-3p,hsa-miR-576-5p,hsa-miR-660-3p,hsa-miR-1-3p,hsa-miR-125a-3p,hsa-miR-186-5p,hsa-miR-101-5p,hsa-miR-181a-5p,hsa-miR-942-3p,hsa-miR-296-5p,hsa-miR-199a-3p,hsa-miR-16-1-3p,hsa-miR-429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSP90AA1,1.22E-10,0.000000111,0.462,55,hsa-miR-16-5p,hsa-miR-760,hsa-miR-425-5p,hsa-miR-421,hsa-miR-501-5p,hsa-miR-484,hsa-miR-324-3p,hsa-miR-378a-3p,hsa-miR-30e-5p,hsa-miR-186-5p,hsa-miR-185-5p,hsa-miR-222-3p,hsa-miR-204-5p,hsa-miR-183-5p,hsa-miR-30c-5p,hsa-miR-25-3p,hsa-miR-17-5p,hsa-let-7b-5p,hsa-miR-889-3p,hsa-miR-374a-3p,hsa-miR-219a-2-3p,hsa-miR-361-5p,hsa-miR-500b-5p,hsa-miR-656-3p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,hsa-miR-582-5p,hsa-miR-101-3p,hsa-miR-550a-3p,hsa-miR-200c-5p,hsa-miR-600,hsa-miR-152-3p,hsa-miR-148b-3p,hsa-miR-148a-3p,hsa-miR-497-3p,hsa-miR-141-5p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,hsa-miR-23a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCN1,2.31E-10,0.000000196,0.291,21,hsa-miR-1-3p,hsa-miR-361-5p,hsa-miR-130b-3p,hsa-miR-98-5p,hsa-miR-93-5p,hsa-let-7b-5p,hsa-miR-652-3p,hsa-miR-193b-3p,hsa-miR-30c-5p,hsa-miR-92a-3p,hsa-miR-26a-5p,hsa-let-7e-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-195-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-20b-5p,hsa-miR-770-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRAS,2.45E-10,0.000000197,0.43,45,hsa-miR-18a-3p,hsa-miR-143-3p,hsa-let-7g-5p,hsa-let-7a-5p,hsa-miR-181c-5p,hsa-miR-96-5p,hsa-miR-216b-5p,hsa-miR-622,hsa-miR-126-3p,hsa-miR-193b-3p,hsa-miR-181a-5p,hsa-miR-16-5p,hsa-miR-452-5p,hsa-miR-152-3p,hsa-miR-340-5p,hsa-miR-433-3p,hsa-miR-487b-3p,hsa-miR-365a-3p,hsa-miR-200c-3p,hsa-miR-27a-3p,hsa-miR-204-3p,hsa-miR-326,hsa-miR-892b,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-193a-3p,hsa-miR-183-5p,hsa-miR-877-5p,hsa-miR-642a-5p,hsa-miR-642b-5p,hsa-miR-124-5p,hsa-miR-671-5p,hsa-miR-513c-3p,hsa-miR-513a-3p,hsa-miR-30e-3p,hsa-miR-30d-3p,hsa-miR-30a-3p,hsa-let-7c-3p,hsa-miR-1-3p,hsa-miR-199a-5p,hsa-miR-543,hsa-miR-384,hsa-miR-613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZH2,3.29E-10,0.000000249,0.361,31,hsa-miR-214-3p,hsa-miR-101-3p,hsa-miR-26a-5p,hsa-miR-199a-5p,hsa-miR-98-5p,hsa-miR-124-3p,hsa-miR-25-3p,hsa-miR-30d-5p,hsa-miR-138-5p,hsa-miR-193b-3p,hsa-miR-92b-3p,hsa-miR-484,hsa-miR-93-5p,hsa-let-7a-5p,hsa-miR-185-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-429,hsa-miR-26b-5p,hsa-miR-708-5p,hsa-let-7e-5p,hsa-let-7c-5p,hsa-miR-532-3p,hsa-miR-150-5p,hsa-miR-320c,hsa-miR-125a-3p,hsa-miR-340-3p,hsa-miR-126-3p,hsa-let-7b-5p,hsa-miR-27a-3p,hsa-miR-101-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMPR2,4.66E-10,0.000000334,0.381,34,hsa-miR-20a-5p,hsa-miR-21-5p,hsa-miR-129-5p,hsa-miR-92a-3p,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-17-5p,hsa-miR-100-5p,hsa-miR-130a-3p,hsa-miR-181c-5p,hsa-miR-128-3p,hsa-miR-215-5p,hsa-miR-7-5p,hsa-miR-93-5p,hsa-miR-26b-5p,hsa-miR-135a-5p,hsa-miR-181a-5p,hsa-miR-106b-5p,hsa-miR-20b-5p,hsa-miR-32-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-92b-3p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-135b-5p,hsa-miR-125b-1-3p,hsa-miR-103a-2-5p,hsa-miR-302d-5p,hsa-miR-302b-5p,hsa-miR-452-5p,hsa-miR-100-3p,hsa-miR-490-5p,hsa-miR-153-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPRIN2,8.31E-10,0.000000539,0.408,38,hsa-miR-124-3p,hsa-miR-340-5p,hsa-miR-93-5p,hsa-let-7f-5p,hsa-miR-20a-5p,hsa-miR-106b-5p,hsa-miR-759,hsa-miR-555,hsa-miR-582-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-301b-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-181c-5p,hsa-miR-181d-5p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-616-3p,hsa-miR-520f-3p,hsa-miR-512-3p,hsa-miR-499b-3p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
